压裂井-压裂段-压窜井,平台,井段键,压窜分类_目标5类,曲线样本ID,验证平台组,outer_fold,Dummy_预测类型,Dummy_P_M1,Dummy_P_M2,Dummy_P_M3,Dummy_P_M4,Dummy_P_M5,Logistic_预测类型,Logistic_P_M1,Logistic_P_M2,Logistic_P_M3,Logistic_P_M4,Logistic_P_M5,RandomForest_预测类型,RandomForest_P_M1,RandomForest_P_M2,RandomForest_P_M3,RandomForest_P_M4,RandomForest_P_M5,XGBoost_预测类型,XGBoost_P_M1,XGBoost_P_M2,XGBoost_P_M3,XGBoost_P_M4,XGBoost_P_M5,NestedSelection_预测类型,NestedSelection_P_M1,NestedSelection_P_M2,NestedSelection_P_M3,NestedSelection_P_M4,NestedSelection_P_M5
泸203H9-3—第8段—泸203H9-4,泸203H9,泸203H9-3 | 第8段,渐进上升型,1751fe0e122e8b,泸203H9,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,渐进上升型,0.019072309030515846,0.1596637501294091,0.5902458736808618,0.21465501264338477,0.016363054515828535,渐进上升型,0.09449333137301522,0.17719706349090159,0.46931303545486863,0.19859486883194005,0.06040170084927456,稳定缓升型,0.018507668748497963,0.18870598077774048,0.3246496021747589,0.40890926122665405,0.05922751873731613,渐进上升型,0.09449333137301522,0.17719706349090159,0.46931303545486863,0.19859486883194005,0.06040170084927456
泸203H9-3—第8段—泸203H9-6,泸203H9,泸203H9-3 | 第8段,稳定缓升型,99b41d41a5ea9b,泸203H9,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,渐进上升型,0.07424253314795316,0.12325019852441806,0.4695682800162359,0.30325431057560337,0.02968467773578965,渐进上升型,0.22140793378559348,0.12327187247308886,0.3545012497051756,0.21203222865786744,0.0887867153782748,稳定缓升型,0.06991483271121979,0.16169433295726776,0.24163031578063965,0.35577309131622314,0.17098742723464966,渐进上升型,0.22140793378559348,0.12327187247308886,0.3545012497051756,0.21203222865786744,0.0887867153782748
泸203H9-4—第5段—泸203H9-1,泸203H9,泸203H9-4 | 第5段,涨幅微弱型,9a36d69b025e84,泸203H9,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,渐进上升型,0.023017285168049063,0.22098161430671195,0.6357862284659043,0.11018239032796634,0.01003248173136826,渐进上升型,0.10640414869539573,0.20089428131047438,0.425040780052709,0.2137138691443685,0.05394692079705272,渐进上升型,0.037789080291986465,0.18345651030540466,0.3157130777835846,0.2987666428089142,0.1642746925354004,渐进上升型,0.10640414869539573,0.20089428131047438,0.425040780052709,0.2137138691443685,0.05394692079705272
泸203H9-4—第5段—泸203H9-2,泸203H9,泸203H9-4 | 第5段,涨幅微弱型,ecd27c3cce9323,泸203H9,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,渐进上升型,0.15876836988543044,0.15833553217237337,0.475167832417185,0.18395871025462057,0.023769555270390506,渐进上升型,0.14018372809892535,0.20185967417855258,0.4177939848375108,0.18281950441090614,0.05734310847410544,渐进上升型,0.07912995666265488,0.18131819367408752,0.2976166307926178,0.2020709067583084,0.2398642897605896,渐进上升型,0.14018372809892535,0.20185967417855258,0.4177939848375108,0.18281950441090614,0.05734310847410544
泸203H9-4—第5段—泸203H9-3,泸203H9,泸203H9-4 | 第5段,渐进上升型,e233dcb75df5f8,泸203H9,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,渐进上升型,0.014381382478972046,0.22935985254967245,0.653684217868731,0.09460990537634743,0.007964641726276974,渐进上升型,0.03764449766994269,0.24445737485796132,0.5012604636284371,0.1852314976233497,0.03140616622030951,渐进上升型,0.017216652631759644,0.2178749293088913,0.401962012052536,0.26249316334724426,0.1004532054066658,渐进上升型,0.03764449766994269,0.24445737485796132,0.5012604636284371,0.1852314976233497,0.03140616622030951
泸203H9-4—第5段—泸203H9-5,泸203H9,泸203H9-4 | 第5段,涨幅微弱型,f83e5130364585,泸203H9,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,渐进上升型,0.023017285168049063,0.22098161430671195,0.6357862284659043,0.11018239032796634,0.01003248173136826,渐进上升型,0.10640414869539573,0.20089428131047438,0.425040780052709,0.2137138691443685,0.05394692079705272,渐进上升型,0.037789080291986465,0.18345651030540466,0.3157130777835846,0.2987666428089142,0.1642746925354004,渐进上升型,0.10640414869539573,0.20089428131047438,0.425040780052709,0.2137138691443685,0.05394692079705272
泸203H9-4—第6段—泸203H9-1,泸203H9,泸203H9-4 | 第6段,涨幅微弱型,0a5478f38a4226,泸203H9,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,渐进上升型,0.027298838593552012,0.21853355138757674,0.616817788214334,0.12749436980241102,0.009855452002126293,渐进上升型,0.10910807161071573,0.18909165581347967,0.4205067315132425,0.2300643967700509,0.0512291442925115,稳定缓升型,0.03688981011509895,0.1802697628736496,0.2872017025947571,0.33047714829444885,0.16516153514385223,渐进上升型,0.10910807161071573,0.18909165581347967,0.4205067315132425,0.2300643967700509,0.0512291442925115
泸203H9-4—第6段—泸203H9-2,泸203H9,泸203H9-4 | 第6段,涨幅微弱型,bc11947e04f1a7,泸203H9,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,渐进上升型,0.1580381772586473,0.15768418506679013,0.46266527094711934,0.20025526062802282,0.021357106099420566,渐进上升型,0.1429325856547682,0.19133257972730947,0.41586103923922085,0.195738659487569,0.054135135891132856,渐进上升型,0.07795219123363495,0.17979536950588226,0.2811281383037567,0.2177632451057434,0.24336111545562744,渐进上升型,0.1429325856547682,0.19133257972730947,0.41586103923922085,0.195738659487569,0.054135135891132856
泸203H9-4—第6段—泸203H9-5,泸203H9,泸203H9-4 | 第6段,涨幅微弱型,f1747a00005ebb,泸203H9,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,渐进上升型,0.027298838593552012,0.21853355138757674,0.616817788214334,0.12749436980241102,0.009855452002126293,渐进上升型,0.10910807161071573,0.18909165581347967,0.4205067315132425,0.2300643967700509,0.0512291442925115,稳定缓升型,0.03688981011509895,0.1802697628736496,0.2872017025947571,0.33047714829444885,0.16516153514385223,渐进上升型,0.10910807161071573,0.18909165581347967,0.4205067315132425,0.2300643967700509,0.0512291442925115
泸203H9-4—第6段—泸203H9-6,泸203H9,泸203H9-4 | 第6段,稳定缓升型,54e487e3b65732,泸203H9,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,渐进上升型,0.04569726738852166,0.20578782153038455,0.5870983073441843,0.1488411496328006,0.012575454104108898,渐进上升型,0.13131090600000025,0.19305224622638775,0.4216480762762578,0.20127316175001245,0.05271560974734201,渐进上升型,0.02916949801146984,0.16939792037010193,0.28884872794151306,0.28794941306114197,0.22463448345661163,渐进上升型,0.13131090600000025,0.19305224622638775,0.4216480762762578,0.20127316175001245,0.05271560974734201
泸203H91-3—第5段—泸203H91-2,泸203H91,泸203H91-3 | 第5段,稳定缓升型,ef2dd2dc00fc2e,泸203H91,4,涨幅微弱型,0.5455607476635514,0.08995327102803738,0.1939252336448598,0.12967289719626168,0.04088785046728972,稳定缓升型,0.25446934120867387,0.09591347991869899,0.21041317496489537,0.38205747462432293,0.05714652928340878,涨幅微弱型,0.431355664818092,0.15200622326825958,0.14012889988265068,0.1889233317382259,0.08758588029277198,涨幅微弱型,0.513209879398346,0.10490728169679642,0.15672744810581207,0.1967153400182724,0.02844006009399891,涨幅微弱型,0.513209879398346,0.10490728169679642,0.15672744810581207,0.1967153400182724,0.02844006009399891
泸203H91-3—第6段—泸203H91-2,泸203H91,泸203H91-3 | 第6段,稳定缓升型,f1a35d0ab6d9de,泸203H91,4,涨幅微弱型,0.5455607476635514,0.08995327102803738,0.1939252336448598,0.12967289719626168,0.04088785046728972,稳定缓升型,0.2604308206462163,0.10076291428371756,0.20366548728269057,0.3756043853980834,0.05953639238929222,涨幅微弱型,0.40654748144373215,0.15707695749221962,0.1425004139783934,0.19439800140407207,0.09947714568158292,涨幅微弱型,0.4880828559398651,0.10952992737293243,0.16363351047039032,0.2090604454278946,0.029693245887756348,涨幅微弱型,0.4880828559398651,0.10952992737293243,0.16363351047039032,0.2090604454278946,0.029693245887756348
泸203H91-3—第11段—泸203H91-4,泸203H91,泸203H91-3 | 第11段,涨幅微弱型,a87a5d2f53e787,泸203H91,4,涨幅微弱型,0.5455607476635514,0.08995327102803738,0.1939252336448598,0.12967289719626168,0.04088785046728972,稳定缓升型,0.2487393745914885,0.14129039364668247,0.2176159229546751,0.3245086511616381,0.0678456576455158,涨幅微弱型,0.2980419401533309,0.169101995292187,0.15187155849516792,0.27519242702615426,0.10579207903315987,稳定缓升型,0.22313164174556732,0.153617724776268,0.22290782630443573,0.3315558433532715,0.06878696382045746,稳定缓升型,0.22313164174556732,0.153617724776268,0.22290782630443573,0.3315558433532715,0.06878696382045746
泸206H8-1—第14段—泸206H8-2,泸206H8,泸206H8-1 | 第14段,稳定缓升型,a39e8935e6afaf,泸206H8,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,涨幅微弱型,0.5097914607137028,0.07418081235565865,0.17370682502707502,0.19175121372882745,0.05056968817473595,涨幅微弱型,0.4390072467111921,0.07325737509357005,0.189104547956566,0.2264162563871316,0.07221457385154022,稳定缓升型,0.2065637707710266,0.06306981295347214,0.13687896728515625,0.45943784713745117,0.13404957950115204,涨幅微弱型,0.4390072467111921,0.07325737509357005,0.189104547956566,0.2264162563871316,0.07221457385154022
泸206H8-2—第18段—泸206H8-1,泸206H8,泸206H8-2 | 第18段,稳定缓升型,c0b91be3845004,泸206H8,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,涨幅微弱型,0.520731838519744,0.07117020040366455,0.1586315770631453,0.194395507070677,0.055070876942769145,涨幅微弱型,0.4152399316794508,0.08758295015892363,0.17842507095653265,0.24220333217688453,0.0765487150282085,稳定缓升型,0.16632449626922607,0.077551931142807,0.1384095996618271,0.4625667929649353,0.15514717996120453,涨幅微弱型,0.4152399316794508,0.08758295015892363,0.17842507095653265,0.24220333217688453,0.0765487150282085
泸206H8-2—第18段—泸206H8-3,泸206H8,泸206H8-2 | 第18段,渐进上升型,50630fca270754,泸206H8,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,涨幅微弱型,0.4254979439176986,0.09437189985018346,0.20845813417584616,0.21512297295726107,0.05654904909901067,渐进上升型,0.2774012164279211,0.12137511555011096,0.3061022242703962,0.22973825343349524,0.06538319031807689,稳定缓升型,0.052344050258398056,0.16554978489875793,0.24538283050060272,0.4157719314098358,0.12095142155885696,渐进上升型,0.2774012164279211,0.12137511555011096,0.3061022242703962,0.22973825343349524,0.06538319031807689
泸206H8-2—第21段—泸206H8-4,泸206H8,泸206H8-2 | 第21段,涨幅微弱型,c6e120de691942,泸206H8,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,稳定缓升型,0.2908269573389712,0.09657220983605691,0.2532272880035569,0.30188245712637357,0.057491087695041375,渐进上升型,0.2620483911565625,0.13224650551027742,0.31109782557780397,0.22205201475444677,0.07255526300090966,稳定缓升型,0.04848732054233551,0.17408740520477295,0.31107163429260254,0.3427189588546753,0.1236346885561943,渐进上升型,0.2620483911565625,0.13224650551027742,0.31109782557780397,0.22205201475444677,0.07255526300090966
泸206H8-2—第21段—泸206H8-5,泸206H8,泸206H8-2 | 第21段,涨幅微弱型,2ff1907e5978ba,泸206H8,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,稳定缓升型,0.299051731148518,0.09445716352060735,0.24791217300380516,0.30084135744845875,0.057737574878610746,渐进上升型,0.26530461102483477,0.12837845478081367,0.3142812581642097,0.21789822822294283,0.07413744780719932,稳定缓升型,0.05392589047551155,0.06982558965682983,0.34267333149909973,0.3811599612236023,0.1524152010679245,渐进上升型,0.26530461102483477,0.12837845478081367,0.3142812581642097,0.21789822822294283,0.07413744780719932
泸206H8-2—第21段—泸206H8-7,泸206H8,泸206H8-2 | 第21段,涨幅微弱型,4e28d0f19bf47b,泸206H8,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,涨幅微弱型,0.37286640942115246,0.07701505068678297,0.2037387002639456,0.2874659288810997,0.05891391074701924,涨幅微弱型,0.37348145151405776,0.07647058645361704,0.24201627273646226,0.22451726937329233,0.08351441992257075,稳定缓升型,0.16280892491340637,0.07381181418895721,0.19287484884262085,0.4029197096824646,0.16758467257022858,涨幅微弱型,0.37348145151405776,0.07647058645361704,0.24201627273646226,0.22451726937329233,0.08351441992257075
泸206H8-2—第21段—泸206H8-8,泸206H8,泸206H8-2 | 第21段,涨幅微弱型,683ae9556aa7a6,泸206H8,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,涨幅微弱型,0.37286640942115246,0.07701505068678297,0.2037387002639456,0.2874659288810997,0.05891391074701924,涨幅微弱型,0.37348145151405776,0.07647058645361704,0.24201627273646226,0.22451726937329233,0.08351441992257075,稳定缓升型,0.16280892491340637,0.07381181418895721,0.19287484884262085,0.4029197096824646,0.16758467257022858,涨幅微弱型,0.37348145151405776,0.07647058645361704,0.24201627273646226,0.22451726937329233,0.08351441992257075
泸206H8-3—第19段—泸206H8-4,泸206H8,泸206H8-3 | 第19段,涨幅微弱型,5fb5dd1a6a1343,泸206H8,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,涨幅微弱型,0.49309243978343076,0.09326419446260392,0.18789774541508894,0.1719215778200975,0.05382404251877875,涨幅微弱型,0.3135322458802172,0.12555379639448885,0.3086509025507798,0.20066044040434994,0.0516026147701646,稳定缓升型,0.09756088256835938,0.19352655112743378,0.16653642058372498,0.3865746259689331,0.15580151975154877,涨幅微弱型,0.3135322458802172,0.12555379639448885,0.3086509025507798,0.20066044040434994,0.0516026147701646
泸206H8-3—第19段—泸206H8-6,泸206H8,泸206H8-3 | 第19段,涨幅微弱型,f9a2598cff1188,泸206H8,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,涨幅微弱型,0.5993711254626586,0.06615075983161596,0.1346163576822092,0.14912222620346383,0.050739530820052434,涨幅微弱型,0.508829020991644,0.07595802886551914,0.1615728220918238,0.18856400627767936,0.06507612177333358,稳定缓升型,0.27975717186927795,0.06949962675571442,0.08444076031446457,0.3797169029712677,0.18658556044101715,涨幅微弱型,0.508829020991644,0.07595802886551914,0.1615728220918238,0.18856400627767936,0.06507612177333358
泸206H8-3—第19段—泸206H8-8,泸206H8,泸206H8-3 | 第19段,涨幅微弱型,334816ca95a240,泸206H8,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,涨幅微弱型,0.5993711254626586,0.06615075983161596,0.1346163576822092,0.14912222620346383,0.050739530820052434,涨幅微弱型,0.508829020991644,0.07595802886551914,0.1615728220918238,0.18856400627767936,0.06507612177333358,稳定缓升型,0.27975717186927795,0.06949962675571442,0.08444076031446457,0.3797169029712677,0.18658556044101715,涨幅微弱型,0.508829020991644,0.07595802886551914,0.1615728220918238,0.18856400627767936,0.06507612177333358
泸206H8-3—第20段—泸206H8-1,泸206H8,泸206H8-3 | 第20段,先降后升型,778d26d38eb7f0,泸206H8,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,涨幅微弱型,0.5341447932413129,0.06613262029219164,0.19290936559625715,0.15397443760479868,0.05283878326543948,涨幅微弱型,0.3430819866532214,0.08580507843739106,0.2627538804436685,0.2495650415697506,0.05879401289596878,稳定缓升型,0.1812249720096588,0.0938432440161705,0.23009304702281952,0.3721664845943451,0.12267226725816727,涨幅微弱型,0.3430819866532214,0.08580507843739106,0.2627538804436685,0.2495650415697506,0.05879401289596878
泸206H8-3—第20段—泸206H8-2,泸206H8,泸206H8-3 | 第20段,渐进上升型,14b9c641c5f831,泸206H8,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,涨幅微弱型,0.4332032121194098,0.08800631327722733,0.254358728056361,0.1702974456046229,0.054134300942378887,渐进上升型,0.14910929462102862,0.13252786797563776,0.41643222918939693,0.25339585116575974,0.04853475704817697,稳定缓升型,0.04948054626584053,0.2130632996559143,0.3140013515949249,0.33124566078186035,0.09220918267965317,渐进上升型,0.14910929462102862,0.13252786797563776,0.41643222918939693,0.25339585116575974,0.04853475704817697
泸206H8-3—第20段—泸206H8-4,泸206H8,泸206H8-3 | 第20段,涨幅微弱型,e0c55c9a421274,泸206H8,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,涨幅微弱型,0.42444697224134953,0.09002352114392938,0.2599802776008413,0.17141978844362668,0.05412944057025301,渐进上升型,0.15050789601963005,0.13049261156538133,0.41524293237510007,0.2548430151129237,0.04891354492696485,稳定缓升型,0.04912589117884636,0.21153613924980164,0.31175071001052856,0.3360390067100525,0.09154827892780304,渐进上升型,0.15050789601963005,0.13049261156538133,0.41524293237510007,0.2548430151129237,0.04891354492696485
泸206H8-3—第20段—泸206H8-5,泸206H8,泸206H8-3 | 第20段,涨幅微弱型,4e69c0a87e6b17,泸206H8,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,涨幅微弱型,0.41833821343970873,0.09144291326498268,0.26393118702235974,0.17217306201814309,0.05411462425480574,渐进上升型,0.14057323990339965,0.13537761441452303,0.4265223920643394,0.2437779885850143,0.05374876503272365,稳定缓升型,0.06773202121257782,0.24251054227352142,0.29412946105003357,0.30178695917129517,0.09384100139141083,渐进上升型,0.14057323990339965,0.13537761441452303,0.4265223920643394,0.2437779885850143,0.05374876503272365
泸206H8-3—第20段—泸206H8-7,泸206H8,泸206H8-3 | 第20段,涨幅微弱型,e903bea8adc8ed,泸206H8,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,涨幅微弱型,0.5341447932413129,0.06613262029219164,0.19290936559625715,0.15397443760479868,0.05283878326543948,涨幅微弱型,0.3430819866532214,0.08580507843739106,0.2627538804436685,0.2495650415697506,0.05879401289596878,稳定缓升型,0.1812249720096588,0.0938432440161705,0.23009304702281952,0.3721664845943451,0.12267226725816727,涨幅微弱型,0.3430819866532214,0.08580507843739106,0.2627538804436685,0.2495650415697506,0.05879401289596878
泸206H8-3—第20段—泸206H8-8,泸206H8,泸206H8-3 | 第20段,涨幅微弱型,b021e181c751f8,泸206H8,3,涨幅微弱型,0.5057034220532319,0.10139416983523447,0.21673003802281368,0.13814955640050697,0.03802281368821293,涨幅微弱型,0.5341447932413129,0.06613262029219164,0.19290936559625715,0.15397443760479868,0.05283878326543948,涨幅微弱型,0.3430819866532214,0.08580507843739106,0.2627538804436685,0.2495650415697506,0.05879401289596878,稳定缓升型,0.1812249720096588,0.0938432440161705,0.23009304702281952,0.3721664845943451,0.12267226725816727,涨幅微弱型,0.3430819866532214,0.08580507843739106,0.2627538804436685,0.2495650415697506,0.05879401289596878
