k,replicate,ari,n
3,98,0.9921353368586049,2634
3,99,0.9833492367452237,2612
4,0,0.9694059057185951,2571
4,1,0.8059838686105815,2472
4,2,0.9595929007110293,2619
4,3,0.9092701363833622,2561
4,4,0.9765978040795515,2606
4,5,0.9888890104212644,2589
4,6,0.9655633143926861,2619
4,7,0.9614404652218698,2596
4,8,0.9876138200569313,2580
4,9,0.9014413288868127,2633
4,10,0.9182569466889756,2443
4,11,0.9756882020164386,2612
4,12,0.9113105822624702,2433
4,13,0.987440956369152,2593
4,14,0.9821710260927862,2591
4,15,0.9718941105701557,2636
4,16,0.9187352804225665,2618
4,17,0.9283235601918508,2586
4,18,0.9868885871214839,2609
4,19,0.9818058586390718,2444
4,20,0.9708868717566984,2595
4,21,0.9853735113488382,2635
4,22,0.981757335617027,2638
4,23,0.9774180361211022,2609
4,24,0.9791265836855896,2591
4,25,0.977983212049968,2630
4,26,0.961610337565367,2468
4,27,0.9451293859476897,2624
4,28,0.9297371788143756,2484
4,29,0.8820763698002353,2602
4,30,0.9949880433089563,2574
4,31,0.9670245141448467,2587
4,32,0.8987236865942362,2564
4,33,0.8891415621381517,2647
4,34,0.9906140348125616,2584
4,35,0.9288645417872727,2580
4,36,0.9864662383349099,2621
4,37,0.9520405550947372,2571
4,38,0.9475493067449692,2627
4,39,0.9737281854853884,2588
4,40,0.9898826396048958,2603
4,41,0.9527699834047317,2598
4,42,0.9621769061910196,2619
4,43,0.9199824096688152,2460
4,44,0.8930441720097358,2577
4,45,0.9715920753377426,2597
4,46,0.9481925203629752,2581
4,47,0.9827835003949588,2604
4,48,0.897116344192308,2621
4,49,0.9910427559855548,2632
4,50,0.9923627984362956,2460
4,51,0.9966692601381453,2454
4,52,0.9818179597001623,2585
4,53,0.8988953427242315,2617
4,54,0.9803075563564212,2579
4,55,0.9365643410741713,2583
4,56,0.8811541448734932,2587
4,57,0.9854807721667781,2615
4,58,0.936236132611999,2590
4,59,0.9114619244898681,2609
4,60,0.9817252149287365,2490
4,61,0.987171956975743,2605
4,62,0.9852330095634255,2597
4,63,0.95659904022907,2583
4,64,0.9730738739901412,2578
4,65,0.9554269350460033,2602
4,66,0.9842507948204867,2595
4,67,0.9879881296911736,2624
4,68,0.9514087766035941,2597
4,69,0.9462125903862013,2599
4,70,0.9843422082257307,2624
4,71,0.9792869999620836,2588
4,72,0.9161851259561716,2602
4,73,0.6694821565671243,2614
4,74,0.9645684677452505,2615
4,75,0.9862048051125505,2605
4,76,0.9920247292983004,2632
4,77,0.9748864236329073,2574
4,78,0.9791788995408656,2608
4,79,0.9861111012824005,2590
4,80,0.9410822574889923,2643
4,81,0.9427320188789569,2601
4,82,0.973405766650522,2616
4,83,0.9490076341469149,2622
4,84,0.9141832796188154,2621
4,85,0.9948349150936819,2628
4,86,0.9781650900861687,2634
4,87,0.9761459384240146,2605
4,88,0.9713595011731178,2599
4,89,0.989100050930759,2483
4,90,0.9155166345732715,2576
4,91,0.9460342739474485,2581
4,92,0.9470683032299103,2601
4,93,0.9938548337635745,2622
4,94,0.990927927394198,2639
4,95,0.9418452267725627,2599
4,96,0.9822406128718817,2586
4,97,0.9901597930524809,2446
4,98,0.9910046474212661,2634
4,99,0.9037436870086579,2612
5,0,0.9574578266373206,2571
5,1,0.9540368139821515,2472
5,2,0.9515134070535994,2619
5,3,0.952030327381854,2561
5,4,0.9718238972304043,2606
5,5,0.9561078446056939,2589
5,6,0.9714636254872524,2619
5,7,0.9632241447018552,2596
5,8,0.9659936480987212,2580
5,9,0.9548209806382653,2633
5,10,0.9805170656664974,2443
5,11,0.9789207782009219,2612
5,12,0.8984150867296142,2433
5,13,0.9895285807458014,2593
5,14,0.9696890650818439,2591
5,15,0.9601407386740519,2636
5,16,0.9499083970110533,2618
5,17,0.9575905368132183,2586
5,18,0.9572681045368525,2609
5,19,0.9009288726394901,2444
5,20,0.9772588355345782,2595
5,21,0.960344866985515,2635
5,22,0.9821937852234063,2638
5,23,0.9717188382815505,2609
5,24,0.9741240399912757,2591
5,25,0.9774016080019657,2630
5,26,0.9897524356734305,2468
5,27,0.981934185313025,2624
5,28,0.9516803363334512,2484
5,29,0.9424771109846651,2602
5,30,0.9689164595720957,2574
