file,sheet,nrows,ncols,status,reason
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H69-1井李欣,10,17,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H69-2井李欣,7,17,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,足203H9-1井李治宏,10,14,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,足203H9-2井李治宏,5,14,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,足206H1-3井李治宏,5,14,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,足206H1-4井李治宏,31,14,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H47-12井,2,17,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H1-9井李拾乔,6,17,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H1-8井李拾乔,5,17,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H1-11井李拾乔,2,13,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H9-1井冉晋林,7,17,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H91-4胡刚,6,14,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H91-2胡刚,5,14,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H91-3胡刚,5,14,解析失败,没有至少5个可解释时间点
