file,sheet,monitor,points,reason
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-11段压裂施工-6井秒点压力监测.xls,导出数据,6,13141,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-13段压裂施工-6井分点压力监测.xls,导出数据,6,313,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-13段压裂施工-6井秒点压力监测.xls,导出数据,6,18721,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-15段压裂施工-6井分点压力监测.xls,导出数据,6,224,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-15段压裂施工-6井秒点压力监测.xls,导出数据,6,13381,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-17段压裂施工-6井分点压力监测.xls,导出数据,6,307,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-17段压裂施工-6井秒点压力监测.xls,导出数据,6,18361,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-19段压裂施工-6井分点压力监测.xls,导出数据,6,297,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-19段压裂施工-6井秒点压力监测.xls,导出数据,6,17761,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-20段压裂施工-6井分点压力监测.xls,导出数据,6,287,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-20段压裂施工-6井秒点压力监测.xls,导出数据,6,17161,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-22段压裂施工-6井分点压力监测.xls,导出数据,6,70,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-22段压裂施工-6井秒点压力监测.xls,导出数据,6,4141,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-2段压裂施工-5井分点压力监测.xls,导出数据,5,254,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-2段压裂施工-5井秒点压力监测.xls,导出数据,5,15181,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-2段压裂施工-6井分点压力监测.xls,导出数据,6,254,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-2段压裂施工-6井秒点压力监测.xls,导出数据,6,15181,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-3段压裂施工-2井分点压力监测.xls,导出数据,2,270,新解析器未识别，保留旧解析器有效通道
