sample_id,platform_id,source_well,stage_id,monitor_well,cluster,boundary_flag,resamples_present,aligned_label_agreement
671f66c8f3cf96,泸203H64,5,12,2,C1,False,88,1.0
6764e0c4c2be19,泸201H5,3,19,1,C1,False,80,1.0
6787ab0f9b8dc6,泸201H5,3,9,2,C1,False,83,1.0
67e438ed492de3,泸203H91,3,5,2,C2,False,100,1.0
689b16f4c51770,泸206H8,4,1,7,C1,False,79,1.0
690673803105dc,泸201H5,3,18,4,C2,False,82,1.0
691e1c6cc7acb4,泸208H2,6,4,8,C2,False,85,1.0
69be660851648e,泸201H5,1,7,4,C1,False,77,1.0
69dc48c41f77ad,阳101H51,2,7,3,C2,False,79,1.0
6a2793517b6b0e,阳101H34,4,13,2,C1,False,83,1.0
6a8a45c6aa7370,泸201H5,4,11,1,C1,False,75,1.0
6a98472d267bab,泸201H5,2,21,4,C1,False,78,1.0
6b9d3f991fd3ff,泸201H5,4,15,3,C1,False,79,1.0
6bb13533105e59,泸201H5,3,21,4,C1,False,83,1.0
6bba65da5894e6,泸206H8,4,2,7,C1,False,80,1.0
6bbd295ce48a09,泸203H76,3,11,4,C2,False,87,1.0
6c1cfab79799fd,泸201H5,1,18,4,C1,False,80,1.0
6c7e0c04841d46,泸203H64,3,9,4,C1,False,76,1.0
6cb23f110791e0,泸201H5,3,3,4,C1,False,79,1.0
6cb6a352ab53cf,泸201H5,2,3,1,C1,False,87,1.0
6d0a792f33dc29,泸208H2,9,20,8,C1,False,91,1.0
6d0d57f6ade004,泸206H8,4,19,3,C2,False,88,1.0
6e16d6a6c078fc,泸201H5,4,5,1,C1,False,75,1.0
6eb33203c70797,泸201H5,1,4,3,C1,False,82,1.0
6fc1c8a23806b9,泸201H5,2,12,3,C1,False,78,1.0
6ff6645d244646,泸203H64,3,10,5,C2,False,87,1.0
704e6c25fd9d72,泸201H5,2,10,3,C1,False,82,1.0
7183e2e6998819,泸201H5,3,5,1,C1,False,82,1.0
72e08cdfb51751,泸208H2,10,19,9,C2,False,75,1.0
72fa1c7670245d,泸201H5,3,14,1,C1,False,75,1.0
72fbe26fa1ae36,泸201H5,3,7,4,C1,False,75,1.0
7376b7ce3418fb,泸203H64,4,10,5,C1,False,84,1.0
73a6caf56c0930,泸201H5,1,23,4,C1,False,78,1.0
74086c3c1e306f,泸208H2,6,5,7,C2,False,85,1.0
74bad7654f8a96,阳101H51,2,8,1,C2,False,80,1.0
74f87645c3a364,泸201H5,4,26,3,C2,False,81,1.0
76acb756b25a9d,阳101H33,2,6,1,C2,False,90,1.0
775e1cb41c2d18,泸201H5,4,6,1,C1,False,78,1.0
776ce316ce647b,泸203H153,5,2,6,C1,False,77,1.0
77cb5e4af8be07,泸203H9,2,28,1,C2,False,100,0.87
