method,k,replicate,n,ari_to_full,ari_adjacent_overlap
DTW_kmedoids,3,84,413,0.8945450426028185,0.8293614481554651
DTW_kmedoids,3,85,417,1.0,0.893539901849335
DTW_kmedoids,3,86,417,0.8880412808136661,0.8920247727769788
DTW_kmedoids,3,87,418,0.9361100232094611,0.963692397716921
DTW_kmedoids,3,88,411,0.8172187089867398,0.8790548227481532
DTW_kmedoids,3,89,421,0.797062030392267,0.9240670572874762
DTW_kmedoids,3,90,411,0.8917562670475919,0.8756219656608931
DTW_kmedoids,3,91,416,0.7945333005385751,0.8951693544766869
DTW_kmedoids,3,92,415,0.9517229179111192,0.8112186911572653
DTW_kmedoids,3,93,425,1.0,0.9430590701344487
DTW_kmedoids,3,94,417,0.9628256054052319,0.9646648839353766
DTW_kmedoids,3,95,417,0.9152176469647213,0.8949669255778384
DTW_kmedoids,3,96,417,0.7787817963917695,0.8581888953598703
DTW_kmedoids,3,97,420,0.9515409058854092,0.7997254243018168
DTW_kmedoids,3,98,413,0.7787372197716611,0.8039367165980107
DTW_kmedoids,3,99,418,0.8272008056249724,0.6892426784337212
DTW_kmedoids,4,0,422,0.7777513785433755,
DTW_kmedoids,4,1,413,0.9412025340194087,0.72863588147709
DTW_kmedoids,4,2,419,0.9871239548495297,0.9337576277970101
DTW_kmedoids,4,3,414,0.9708496718884806,0.9837441567693614
DTW_kmedoids,4,4,417,0.9545351503688609,0.9822202852265032
DTW_kmedoids,4,5,418,0.9883764671811546,0.9491211123433826
DTW_kmedoids,4,6,420,0.8490417724963153,0.8511612690906749
DTW_kmedoids,4,7,417,0.7885643863336044,0.8951476680187833
DTW_kmedoids,4,8,415,0.827886406405373,0.9155262646760988
DTW_kmedoids,4,9,421,0.7777494911241231,0.8927479422191706
DTW_kmedoids,4,10,416,0.9719131543580172,0.7737570604148833
DTW_kmedoids,4,11,416,0.7925307361625492,0.7911088618978257
DTW_kmedoids,4,12,416,0.7932086490056757,0.948453832573208
DTW_kmedoids,4,13,417,0.8084664911021668,0.8994542944745841
DTW_kmedoids,4,14,416,0.8169965878043159,1.0
DTW_kmedoids,4,15,418,0.9240407097109201,0.7767152920271567
DTW_kmedoids,4,16,414,0.8149677338277478,0.7797224420570652
DTW_kmedoids,4,17,415,0.8361062057585615,0.9712118861037947
DTW_kmedoids,4,18,418,0.9548173981979834,0.8434633288992198
DTW_kmedoids,4,19,416,0.8846706936445351,0.8740805025170874
DTW_kmedoids,4,20,411,1.0,0.8882948736827826
